,fsq_id,categories,chains,distance,link,name,timezone,geocodes.drop_off.latitude,geocodes.drop_off.longitude,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,location.address_extended,related_places.children,related_places.parent.fsq_id,related_places.parent.name
161,5286b3cc11d2a16180fd187e,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],897,/v3/places/5286b3cc11d2a16180fd187e,Foundation Bar,America/Toronto,,,43.652664,-79.380342,43.652664,-79.380342,14 W Queen St,CA,in Eaton Centre,"14 W Queen St (in Eaton Centre), Toronto ON",Toronto,,ON,,,,
162,4add3b20f964a520b16421e3,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13057, 'name': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],695,/v3/places/4add3b20f964a520b16421e3,House on Parliament,America/Toronto,,,43.663671,-79.367878,43.663671,-79.367878,454 Parliament St,CA,btwn Carlton & Gerrard,"454 Parliament St (btwn Carlton & Gerrard), Toronto ON M5A 3A2",Toronto,M5A 3A2,ON,,,,
163,4ab2b0b9f964a520e56b20e3,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13057, 'name': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}]",[],903,/v3/places/4ab2b0b9f964a520e56b20e3,The Queen and Beaver Public House,America/Toronto,,,43.65738,-79.38343,43.65738,-79.38343,35 Elm St,CA,at Bay St.,"35 Elm St (at Bay St.), Toronto ON M5G 1H1",Toronto,M5G 1H1,ON,,,,
164,4ad9ffbbf964a520091d21e3,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],689,/v3/places/4ad9ffbbf964a520091d21e3,Jack Astor's,America/Toronto,,,43.656641,-79.38046,43.656641,-79.38046,10 Dundas St E,CA,at Yonge St.,"10 Dundas St E (at Yonge St.), Toronto ON M5B 2G9",Toronto,M5B 2G9,ON,,,4adcaacff964a520882e21e3,10 Dundas East
165,4fad7eb3e4b0b0320d241fa4,"[{'id': 17069, 'name': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}, {'id': 17076, 'name': 'Liquor Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_liquor_', 'suffix': '.png'}}, {'id': 17080, 'name': 'Wine Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_wineshop_', 'suffix': '.png'}}]",[],987,/v3/places/4fad7eb3e4b0b0320d241fa4,Lcbo,America/Toronto,,,43.651189,-79.365054,43.651189,-79.365054,222 Front St E,CA,at Parliament St,"222 Front St E (at Parliament St), Toronto ON M5A 4T9",Toronto,M5A 4T9,ON,,,,
166,4b6dde8bf964a5203a972ce3,"[{'id': 17058, 'name': 'Beer Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}]","[{'id': 'dca28a14-eb9f-44a7-a077-5a687d499af6', 'name': 'The Beer Store'}]",377,/v3/places/4b6dde8bf964a5203a972ce3,Beer Store,America/Toronto,43.661618,-79.37046,43.661466,-79.370427,43.661466,-79.370427,227 Gerrard St E,CA,btwn Seaton & Ontario,"227 Gerrard St E (btwn Seaton & Ontario), Toronto ON M5A 2E9",Toronto,M5A 2E9,ON,,,,
167,4a88a344f964a520400720e3,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13049, 'name': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],964,/v3/places/4a88a344f964a520400720e3,O'Grady's Restaurant,America/Toronto,,,43.664491,-79.380587,43.664491,-79.380587,518 Church St,CA,at Maitland St.,"518 Church St (at Maitland St.), Toronto ON M4Y 2C8",Toronto,M4Y 2C8,ON,,,,
168,4c747ea4604a370462548049,"[{'id': 13027, 'name': 'Bistro', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13148, 'name': 'French Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}]",[],934,/v3/places/4c747ea4604a370462548049,Trios Bistro,America/Toronto,,,43.654605,-79.382988,43.654605,-79.382988,525 Bay St,CA,Dundas West,"525 Bay St (Dundas West), Toronto ON M5G 2L2",Toronto,M5G 2L2,ON,,,,
169,4ad4c060f964a5206af720e3,"[{'id': 13352, 'name': 'Thai Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/thai_', 'suffix': '.png'}}]",[],844,/v3/places/4ad4c060f964a5206af720e3,Bangkok Garden Restaurant,America/Toronto,,,43.657825,-79.382706,43.657825,-79.382706,18 Elm St,CA,,"18 Elm St, Toronto ON M5G 1G7",Toronto,M5G 1G7,ON,,,,
170,4b9af0f5f964a52055e535e3,"[{'id': 17058, 'name': 'Beer Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}]","[{'id': 'dca28a14-eb9f-44a7-a077-5a687d499af6', 'name': 'The Beer Store'}]",330,/v3/places/4b9af0f5f964a52055e535e3,Beer Store,America/Toronto,,,43.692174,-79.28627,43.692174,-79.28627,3130 Danforth Ave,CA,at Victoria Park Ave,"3130 Danforth Ave (at Victoria Park Ave), Scarborough ON M1L 1B2",Scarborough,M1L 1B2,ON,,,,
